0.000s | tick 0 | track 1 | Sequencer Specific (3 bytes)
0.000s | tick 0 | track 1 | Copyright: "© 1993, id Software"
0.000s | tick 0 | track 1 | Copyright: "© 1994, Microsoft"
0.000s | tick 0 | track 1 | Tempo 60.00 BPM (1000000 us/qn)
0.000s | tick 0 | track 1 | ch 1 | Program Change 30 (#31)
0.000s | tick 0 | track 1 | ch 1 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 1 | Control Change CC 10 (Pan) value 24
0.000s | tick 0 | track 1 | ch 1 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 1 | Control Change CC 10 (Pan) value 24
0.000s | tick 0 | track 1 | ch 2 | Program Change 29 (#30)
0.000s | tick 0 | track 1 | ch 2 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 2 | Control Change CC 10 (Pan) value 104
0.000s | tick 0 | track 1 | ch 2 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 2 | Control Change CC 10 (Pan) value 104
0.000s | tick 0 | track 1 | ch 3 | Program Change 34 (#35)
0.000s | tick 0 | track 1 | ch 3 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 3 | Control Change CC 10 (Pan) value 64
0.000s | tick 0 | track 1 | ch 3 | Note On E2 (40) vel 120
0.000s | tick 0 | track 1 | ch 10 | Program Change 0 (#1)
0.000s | tick 0 | track 1 | ch 10 | Control Change CC 7 (Volume) value 100
0.000s | tick 0 | track 1 | ch 10 | Note On C2 (36) vel 123
0.000s | tick 0 | track 1 | ch 10 | Note On E2 (40) vel 115
0.000s | tick 0 | track 1 | ch 10 | Note On F2 (41) vel 120
0.000s | tick 0 | track 1 | ch 2 | Note On E2 (40) vel 108
0.043s | tick 24 | track 1 | ch 2 | Note Off E2 (40) vel 108
0.093s | tick 52 | track 1 | ch 3 | Note Off E2 (40) vel 120
0.121s | tick 68 | track 1 | ch 10 | Note Off C2 (36) vel 120
0.136s | tick 76 | track 1 | ch 2 | Note On E2 (40) vel 114
0.143s | tick 80 | track 1 | ch 10 | Note Off E2 (40) vel 120
0.150s | tick 84 | track 1 | ch 10 | Note Off F2 (41) vel 120
0.271s | tick 152 | track 1 | ch 2 | Note On E3 (52) vel 114
0.293s | tick 164 | track 1 | ch 2 | Note Off E2 (40) vel 114
0.407s | tick 228 | track 1 | ch 2 | Note Off E3 (52) vel 114
0.414s | tick 232 | track 1 | ch 2 | Note On E2 (40) vel 110
0.457s | tick 256 | track 1 | ch 2 | Note Off E2 (40) vel 110
0.550s | tick 308 | track 1 | ch 2 | Note On E2 (40) vel 110
0.686s | tick 384 | track 1 | ch 2 | Note On D3 (50) vel 111
0.700s | tick 392 | track 1 | ch 2 | Note Off E2 (40) vel 111
0.807s | tick 452 | track 1 | ch 2 | Note Off D3 (50) vel 111
0.821s | tick 460 | track 1 | ch 2 | Note On E2 (40) vel 104
0.864s | tick 484 | track 1 | ch 2 | Note Off E2 (40) vel 104
0.957s | tick 536 | track 1 | ch 2 | Note On E2 (40) vel 111
1.093s | tick 612 | track 1 | ch 2 | Note On C3 (48) vel 116
1.093s | tick 612 | track 1 | ch 2 | Note Off E2 (40) vel 116
1.221s | tick 684 | track 1 | ch 2 | Note Off C3 (48) vel 116
1.229s | tick 688 | track 1 | ch 2 | Note On E2 (40) vel 108
1.271s | tick 712 | track 1 | ch 2 | Note Off E2 (40) vel 108
1.364s | tick 764 | track 1 | ch 2 | Note On E2 (40) vel 110
1.500s | tick 840 | track 1 | ch 2 | Note On A#2 (46) vel 110
1.514s | tick 848 | track 1 | ch 2 | Note Off E2 (40) vel 110
1.636s | tick 916 | track 1 | ch 2 | Note Off A#2 (46) vel 110
1.636s | tick 916 | track 1 | ch 2 | Note On E2 (40) vel 110
1.693s | tick 948 | track 1 | ch 2 | Note Off E2 (40) vel 110
1.771s | tick 992 | track 1 | ch 2 | Note On E2 (40) vel 111
1.914s | tick 1072 | track 1 | ch 2 | Note On B2 (47) vel 110
2.043s | tick 1144 | track 1 | ch 2 | Note Off B2 (47) vel 110
2.050s | tick 1148 | track 1 | ch 2 | Note On C3 (48) vel 117
2.143s | tick 1200 | track 1 | ch 2 | Note Off E2 (40) vel 117
2.171s | tick 1216 | track 1 | ch 2 | Note Off C3 (48) vel 117
2.179s | tick 1220 | track 1 | ch 3 | Note On E2 (40) vel 127
2.179s | tick 1220 | track 1 | ch 10 | Note On C2 (36) vel 123
2.179s | tick 1220 | track 1 | ch 10 | Note On E2 (40) vel 123
